143,12,2013-11-01,2014-01-05
218,10,2012-05-16,
143,10,2009-01-01,2012-06-16
122,10,2012-05-01,2012-05-17
218,11,2020-05-16,
143,11,2020-01-01,2020-06-19
143,15,2021-06-01,2021-07-19
218,15,2021-05-16,
122,11,2020-05-16,2020-07-20
218,12,2014-06-01,2015-07-19
143,12,2016-01-01,2016-06-19
122,15,2021-01-01,
122,12,2016-06-20,2016-07-19
143,11,2018-01-01,2018-06-19
218,12,2015-08-01,2016-09-10
143,15,2021-08-01,2021-08-15
122,10,2011-03-01,2011-03-10
218,11,2019-02-01,2019-02-15
143,12,2017-04-01,2017-04-15
122,15,2021-08-16,
143,11,2019-08-01,2019-08-10
